page,page_display,type,subtype,grade,rule_grade,decided_by
0,1,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
1,2,URLA_1003,lender_loan_information,RULE_HIGH,RULE_HIGH,rule
2,3,CREDIT_REPORT,consumer_letter,LLM,DEFER_LLM,llm
3,4,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
4,5,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
5,6,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
6,7,CREDIT_REPORT,,RULE_HIGH,RULE_HIGH,rule
7,8,,,UNRESOLVED,DEFER_LLM,deferred
8,9,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
9,10,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
10,11,CREDIT_REPORT,,RULE_MEDIUM,RULE_MEDIUM,rule
11,12,TITLE_REPORT,body,RULE_MEDIUM,RULE_MEDIUM,rule
12,13,CREDIT_REPORT,consumer_letter,RULE_HIGH,RULE_HIGH,rule
13,14,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
14,15,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
15,16,TITLE_REPORT,body,RULE_MEDIUM,RULE_MEDIUM,rule
16,17,CREDIT_REPORT,,RULE_MEDIUM,RULE_MEDIUM,rule
17,18,TITLE_REPORT,body,RULE_MEDIUM,RULE_MEDIUM,rule
18,19,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
19,20,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
20,21,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
21,22,TITLE_REPORT,body,RULE_MEDIUM,RULE_MEDIUM,rule
22,23,CREDIT_REPORT,,RULE_HIGH,RULE_HIGH,rule
23,24,URLA_1003,unmarried_addendum,RULE_HIGH,RULE_HIGH,rule
24,25,CREDIT_REPORT,score_disclosure,RULE_HIGH,RULE_HIGH,rule
25,26,URLA_1003,lender_loan_information,RULE_HIGH,RULE_HIGH,rule
26,27,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
27,28,TITLE_REPORT,body,RULE_MEDIUM,RULE_MEDIUM,rule
28,29,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
29,30,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
30,31,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
31,32,TITLE_REPORT,cover,RULE_HIGH,RULE_HIGH,rule
32,33,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
33,34,TITLE_REPORT,body,RULE_MEDIUM,RULE_MEDIUM,rule
34,35,URLA_1003,continuation_sheet,RULE_HIGH,RULE_HIGH,rule
35,36,INCOME_DOC,body,LLM,DEFER_LLM,llm
36,37,TITLE_REPORT,exhibit,RULE_MEDIUM,RULE_MEDIUM,rule
37,38,URLA_1003,main,RULE_HIGH,RULE_HIGH,rule
38,39,CREDIT_REPORT,main_report,RULE_HIGH,RULE_HIGH,rule
